Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/1/16,10,Burglary,10H10,Restaurant or Cafeteria,300-399,LOCKWOOD,DR,S,1
1/1/16,23,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,BASTROP,ST,-,1
1/1/16,18,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1700-1799,ELGIN,ST,-,2
1/1/16,18,Auto Theft,10H40,Other Parking Lot,3000-3099,TRAVIS,-,-,1
1/1/16,2,Burglary,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
1/1/16,4,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2800-2899,FANNIN,ST,-,2
1/1/16,4,Theft,10H40,Commercial Building,1500-1599,HADLEY,ST,-,1
1/1/16,16,Burglary,10H50,Residence or House,2800-2899,HOLMAN,-,-,1
1/1/16,15,Theft,10H50,Bar or Night Club,2400-2499,MCGOWEN,ST,-,1
1/1/16,15,Theft,10H60,"Other, Unknown, or Not Listed",3700-3799,WHEELER,-,-,1
1/1/16,17,Aggravated Assault,10H60,Bar or Night Club,3300-3399,DIXIE,DR,-,1
1/1/16,19,Burglary,10H60,Residence or House,3800-3899,CHARLESTON,-,-,1
1/1/16,20,Burglary,10H60,Apartment,6400-6499,BOWLING GREEN,ST,-,1
1/1/16,7,Auto Theft,10H60,Service or Gas Station,3800-3899,OLD SPANISH,TRL,-,1
1/1/16,13,Theft,10H60,Apartment Parking Lot,3200-3299,MACGREGOR,WAY,-,1
1/1/16,15,Rape,10H70,Apartment,1500-1599,TAUB LOOP,-,-,1
1/1/16,14,Theft,10H70,Apartment Parking Lot,2900-2999,OLD SPANISH,TRL,-,1
1/1/16,7,Burglary,10H80,Department or Discount Store,2000-2099,SOUTHWEST,FWY,-,1
1/1/16,1,Aggravated Assault,11H10,Residence or House,7200-7299,AVENUE J,-,-,3
1/1/16,11,Robbery,11H10,Apartment Parking Lot,900-999,FAIR OAKS,DR,-,1
1/1/16,11,Burglary,11H10,Residence or House,7200-7299,AVENUE I,-,-,1
1/1/16,16,Theft,11H10,Department or Discount Store,2300-2399,WAYSIDE,-,S,1
1/1/16,17,Theft,11H20,Grocery Store or Supermarket Parking Lot,8000-8099,ELVERA,ST,-,1
1/1/16,18,Theft,11H20,"Road, Street, or Sidewalk",7000-7099,GULF,FWY,-,1
1/1/16,13,Aggravated Assault,11H20,Residence or House,7100-7199,KERNEL,ST,-,1
1/1/16,15,Auto Theft,11H20,Convenience Store Parking Lot,2600-2699,BROADWAY,ST,-,1
1/1/16,5,Burglary,11H30,Residence or House,7900-7999,EASTON,ST,-,1
1/1/16,23,Auto Theft,11H50,"Road, Street, or Sidewalk",9200-9299,WINKLER,DR,-,1
1/1/16,23,Robbery,12D10,Apartment,100-199,EDGEBROOK,DR,E,1
1/1/16,22,Theft,12D10,"Other, Unknown, or Not Listed",9000-9099,BROADWAY,ST,N,1
1/1/16,23,Theft,12D10,Restaurant or Cafeteria Parking Lot,9900-9999,GULF,FWY,-,1
1/1/16,15,Theft,12D10,Apartment,UNK,EDGEBROOK,DR,E,1
1/1/16,18,Theft,12D10,Apartment Parking Lot,UNK,EDGEBROOK,DR,E,1
1/1/16,13,Theft,12D10,"Road, Street, or Sidewalk",3900-3999,ARLINGTON SQUARE,DR,-,1
1/1/16,11,Burglary,12D20,Apartment,10700-10799,FUQUA,ST,-,1
1/1/16,0,Theft,12D30,Restaurant or Cafeteria Parking Lot,12900-12999,GULF,FWY,-,1
1/1/16,7,Theft,12D40,Other Parking Lot,800-899,BAY STAR,BLVD,-,1
1/1/16,8,Aggravated Assault,12D60,Apartment,16400-16499,EL CAMINO REAL,-,-,1
1/1/16,14,Auto Theft,12D60,Restaurant or Cafeteria Parking Lot,1800-1899,EL DORADO,BLVD,-,1
1/1/16,12,Theft,12D70,Specialty Store (Non-Specific),500-599,BAYBROOK MALL,-,-,1
1/1/16,11,Theft,13D10,Residence or House,3500-3599,MINGLEWOOD,BLVD,-,1
1/1/16,7,Auto Theft,13D10,Apartment Parking Lot,6900-6999,LOOP,-,-,1
1/1/16,18,Theft,13D10,Restaurant or Cafeteria Parking Lot,7000-7099,GULF,FWY,-,1
1/1/16,21,Robbery,13D10,"Road, Street, or Sidewalk",3300-3399,REAL,-,-,1
1/1/16,15,Theft,13D20,"Road, Street, or Sidewalk",7900-7999,LEONORA,-,-,1
1/1/16,12,Theft,13D20,Apartment Parking Lot,8900-8999,GLENCREST,ST,-,1
1/1/16,9,Burglary,13D20,Apartment,8700-8799,BROADWAY,ST,-,1
1/1/16,10,Burglary,13D40,Commercial Building,10800-10899,TELEPHONE,-,-,1
1/1/16,7,Theft,14D10,Strip Business Center Parking Lot,6000-6099,SCOTT,ST,-,1
1/1/16,20,Theft,14D10,Driveway,6700-6799,LIVERPOOL,-,-,1
1/1/16,20,Aggravated Assault,14D20,Miscellaneous Business (Non-Specific),7200-7299,SCOTT,ST,-,1
