Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
5/20/16,1,Robbery,10H10,Bar or Night Club,3900-3999,CANAL,ST,-,1
5/20/16,14,Theft,10H10,Driveway,6300-6399,BRADY,ST,-,1
5/21/16,16,Theft,10H10,Residence or House,200-299,EVERTON,ST,N,1
5/22/16,21,Theft,10H10,"Road, Street, or Sidewalk",UNK,SAINT CHARLES,-,N,1
5/23/16,17,Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,3300-3399,CANAL,ST,-,1
5/23/16,20,Burglary,10H10,Apartment,100-199,YORK,-,N,1
5/24/16,8,Burglary,10H10,Residence or House,4500-4599,CANAL,ST,-,1
5/24/16,11,Burglary,10H10,Car Wash,4400-4499,CANAL,ST,-,1
5/25/16,19,Aggravated Assault,10H10,"Road, Street, or Sidewalk",100-199,MILBY,ST,N,1
5/26/16,17,Theft,10H10,Department or Discount Store,3400-3499,NAVIGATION,-,-,1
5/27/16,8,Burglary,10H10,Construction Site,400-499,EASTWOOD,ST,-,1
5/27/16,10,Theft,10H10,Commercial Parking Lot or Garage,2900-2999,NAVIGATION,-,-,1
5/27/16,14,Burglary,10H10,Apartment,2100-2199,CANAL,ST,-,1
5/27/16,14,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
5/28/16,16,Theft,10H10,Apartment,2500-2599,SALTUS,-,-,1
5/3/16,0,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
5/3/16,8,Robbery,10H10,"Road, Street, or Sidewalk",4000-4099,CANAL,ST,-,1
5/4/16,11,Theft,10H10,Warehouse,4700-4799,NAVIGATION,-,-,1
5/4/16,14,Theft,10H10,"Road, Street, or Sidewalk",UNK,SAMPSON,ST,-,1
5/5/16,7,Theft,10H10,Residence or House,100-199,DRENNAN,ST,N,1
5/5/16,19,Theft,10H10,Residence or House,100-199,ADAMS,ST,-,1
5/5/16,23,Robbery,10H10,Other Parking Lot,4500-4599,HARRISBURG,-,-,1
5/6/16,18,Burglary,10H10,Garage or Carport,100-199,ESTELLE,ST,-,1
5/6/16,22,Robbery,10H10,"Road, Street, or Sidewalk",4000-4099,GARROW,-,-,1
5/7/16,23,Burglary,10H10,"Laundry, Dry Cleaners, Washaterias",5400-5499,HARRISBURG,-,-,1
5/8/16,12,Theft,10H10,Other Parking Lot,800-899,YORK,-,N,1
5/8/16,16,Theft,10H10,Commercial Parking Lot or Garage,400-499,VELASCO,-,-,1
5/9/16,9,Burglary,10H10,Apartment,1900-1999,RUNNELS,-,-,1
5/14/16,8,Burglary,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",UNK,NORWOOD,-,-,1
5/14/16,8,Theft,10H10,"Other, Unknown, or Not Listed",2700-2799,NAVIGATION,-,-,1
5/15/16,15,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
5/15/16,20,Aggravated Assault,10H10,Residence or House,4400-4499,GARROW,-,-,1
5/15/16,21,Theft,10H10,"Road, Street, or Sidewalk",100-199,MILBY,ST,N,1
